"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"U.S. House of Representatives","","United States","house.gov","","Government administration","10+B USD","0","","31","1","","2025-11-04","1","0","0","","United States","","","","","","","","","","","","","","","","",""
"City and County of San Francisco","","United States","sfgov.org","","Government administration","10+B USD","0","","61","0","","2025-11-04","1","0","0","","United States","","","","","","","","","","","","","","","","",""
"Intercity Transit","Cold lead","United States","https://www.wsdot.wa.gov/","https://www.linkedin.com/sales/company/1112918?_ntb=XEnb3EyGRLKPr7HRAjfjdQ%3D%3D","Utilities","1 - 10B USD","3500","","7","1","","2025-11-04","4","0","0","","United States","","","","","","","","","","","","","","","","",""
"Thurston County","","United States","co.thurston.wa.us","","Government administration","1 - 10B USD","0","","17","2","","2025-11-04","1","0","2","","United States","","","","","","","","","","","","","","","","",""
"King County","","United States","kingcounty.gov","","Government administration","1 - 10B USD","0","","26","0","","2025-11-04","3","0","0","","United States","","","","","","","","","","","","","","","","",""
"KPMG","","","","","Financial services","1 - 10B USD","53000","","352","1","","","0","0","2","","Sao Paulo, Brazil","","","","","","","","","","","","","","","","",""
"Washington State Department of Transportation","","United States","","","Government administration","1 - 10B USD","3500","","432","0","","","0","0","0","","Olympia, WA, USA","","","","","","","","","","","","","","","","",""
"Office of Congresswoman Strickland","","United States","strickland.house.gov","","Government administration","100 - 1000M USD","0","","12","1","","2025-11-04","1","0","1","","United States","","","","","","","","","","","","","","","","",""
"City of Olympia","","United States","ci.olympia.wa.us","","Government administration","100 - 1000M USD","0","","18","6","","2025-11-04","6","0","6","","United States","","","","","","","","","","","","","","","","",""
"Thurston Regional Planning Council (TRPC)","","","trpc.org","","Utilities","100 - 1000M USD","0","","19","1","","2025-11-04","1","0","0","","","","","","","","","","","","","","","","","","",""
"Hampton Roads Workforce Council","","United States","theworkforcecouncil.org","","Administrative and support services","100 - 1000M USD","0","","22","1","","2025-11-04","2","0","2","","United States","","","","","","","","","","","","","","","","",""
"Port of Seattle","","United States","portseattle.org","","Government administration","100 - 1000M USD","0","","23","2","","2025-11-04","2","0","1","","United States","","","","","","","","","","","","","","","","",""
"WorkSource Seattle-King County","","United States","worksourceskc.org","","Professional services","100 - 1000M USD","0","","46","1","","2025-11-04","1","0","1","","United States","","","","","","","","","","","","","","","","",""
"Thurston County Public Health & Social Services","","United States","tpchd.org","","Government administration","100 - 1000M USD","0","","52","0","","2025-11-04","1","0","0","","United States","","","","","","","","","","","","","","","","",""
"Spokane Area Workforce Development Council","","United States","spokaneworkforce.org","","Administrative and support services","100 - 1000M USD","0","","55","0","","2025-11-04","1","0","0","","United States","","","","","","","","","","","","","","","","",""
"Workforce Solutions","","United States","wrksolutions.net","","Government administration","100 - 1000M USD","0","","58","1","","2025-11-04","1","0","1","","United States","","","","","","","","","","","","","","","","",""
"UEG - United European Gastroenterology","Hot lead","","http://www.ueg.eu","https://www.linkedin.com/company/ueg-united-european-gastroenterology","Professional services","100 - 1000M USD","114","","177","1","","2026-02-05","17","0","68","","Vienna, Austria","","","","","","","","","","","","","","","","",""
"Elavon Europe","","Ireland","elavon.co.uk","https://linkedin.com/company/3131776","Financial services","100 - 1000M USD","1269","","296","1","","2025-09-12","6","0","0","","Cherrywood Technology Park, Dublin, Ireland","","","","","","","","","","","","","","","","",""
"Grupo ET","Warm lead","Portugal","https://www.ete.pt","https://linkedin.com/company/grupoete","Transportation, logistics, supply chain and storage","100 - 1000M USD","597","","942","0","","","0","0","0","","Portugal","","","","","","","","","","","","","","","","",""
"City of Lacey","","United States","ci.lacey.wa.us","","Government administration","10 - 100M USD","0","","15","4","","2025-11-04","4","0","5","","United States","","","","","","","","","","","","","","","","",""
"City of Yelm","","United States","yelmwa.gov","","Government administration","10 - 100M USD","0","","16","1","","","0","0","1","","United States","","","","","","","","","","","","","","","","",""
